[ 2026-02-07 11:51:38,768 ] 20 root - INFO - Initiate the data ingestion
[ 2026-02-07 11:51:40,705 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-02-07 11:51:40,706 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-02-07 11:51:40,707 ] 75 root - INFO - Exporting train and test file path.
[ 2026-02-07 11:51:41,414 ] 84 root - INFO - Exported train and test file path.
[ 2026-02-07 11:51:41,414 ] 22 root - INFO - Data Initiation Completed
[ 2026-02-07 11:51:41,424 ] 26 root - INFO - Initiate the data Validation
[ 2026-02-07 11:51:41,473 ] 32 root - INFO - Required number of columns:2
[ 2026-02-07 11:51:41,475 ] 33 root - INFO - Data frame has columns:31
[ 2026-02-07 11:51:41,475 ] 32 root - INFO - Required number of columns:2
[ 2026-02-07 11:51:41,475 ] 33 root - INFO - Data frame has columns:31
[ 2026-02-07 11:51:42,223 ] 28 root - INFO - data Validation Completed
[ 2026-02-07 11:51:42,225 ] 31 root - INFO - data Transformation started
[ 2026-02-07 11:51:42,225 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-02-07 11:51:42,225 ] 65 root - INFO - Starting data transformation
[ 2026-02-07 11:51:42,263 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-02-07 11:51:42,263 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-02-07 11:51:42,292 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-02-07 11:51:42,302 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-02-07 11:51:42,302 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-02-07 11:51:42,310 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-02-07 11:51:42,311 ] 35 root - INFO - data Transformation completed
[ 2026-02-07 11:51:42,311 ] 37 root - INFO - Model Training sstared
